Number	" ""Source Name"""	Characteristics[Organism]	Term Source REF[Organism]	Term Accession Number[Organism]	Characteristics[Organism part]	Term Source REF[Organism part]	Term Accession Number[Organism part]
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
MTBLS198	" ""FLAVUR_Project"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Urine		
